solved,problem-code,problem-name,category,points,ac-rate,users
1,tds_sk22,Tính tổng dãy số,Nâng cao,"1,00","22,7%",30
-1,tdcs_sk22,Thay đổi chữ số,Vận dụng linh hoạt,"1,00","29,3%",22
1,canhhcn_mb22,Cạnh hình chữ nhật,Cơ bản,"1,00","80,4%",106
1,tvj_mb22,Tom và Jerry,Vận dụng linh hoạt,"1,00","27,8%",34
1,dccs_mb22,Đổi chỗ chữ số,Vận dụng linh hoạt,"1,00","14,5%",15
1,chiakeo_mn22,Chia kẹo,Cơ bản,"1,00","36,8%",88
1,smayman_mn22,Số may mắn,Nâng cao,"1,00","23,7%",52
1,cscuoicung_mn22,Chữ số cuối cùng,Cơ bản,"1,00","36,3%",29
1,chiabanh_mtr22,Chia bánh,Cơ bản,"1,00","56,4%",74
0,xh_mtr22,Xếp hàng,Vận dụng linh hoạt,"1,00","25,5%",29
1,sdep_mtr22,Số đẹp 2,Vận dụng linh hoạt,"1,00","42,5%",31
1,xh_qg22,Xếp hình,Nâng cao,"1,00","24,3%",31
1,dtrtr_qg22,Đèn trang trí,Vận dụng linh hoạt,"1,00","34,4%",23
1,chh_qg22,Chia hết,Nâng cao,"1,00","16,8%",8
1,matthu_hc23,Mật thư,Nâng cao,"1,00","69,3%",65
0,mqua_hc23,Mua quà,Cơ bản,"1,00","45,2%",18
1,matma_hc23,Mật mã,Nâng cao,"1,00","48,6%",62
1,duan_lc23,Dự án,Cơ bản,"1,00","61,0%",75
1,hoten_lc23,Họ tên,Cơ bản,"1,00","35,9%",76
1,dso_lc23,Dãy số,Cơ bản,"1,00","66,3%",82
1,xdomino_str23,Xếp domino,Vận dụng linh hoạt,"1,00","88,9%",23
1,xgiongnhau_str23,Xâu giống nhau,Vận dụng linh hoạt,"1,00","19,1%",25
1,kcohoc_str23,Khảo cổ học,Vận dụng linh hoạt,"1,00","26,3%",19
1,cannang,Cân nặng,Cơ bản,"1,00","60,0%",54
1,sdacbiet,Số đặc biệt,Cơ bản,"1,00","69,6%",79
1,khuvuon_thk23,Khu vườn,Cơ bản,"1,00","70,2%",74
1,thban_thk23,Thăm bạn,Nâng cao,"1,00","4,7%",9
0,demnet_tk23,Đếm nét,Cơ bản,"1,00","28,1%",51
1,bongden,Bóng đèn,Cơ bản,"1,00","37,3%",50
1,ctru_gib23,Cộng trừ,Cơ bản,"1,00","58,6%",95
1,sdoixung_gib23,Siêu đối xứng,Vận dụng linh hoạt,"1,00","25,1%",36
1,muatao_hv23,Mua táo,Cơ bản,"1,00","22,1%",26
1,xdoixung_hv23,Xâu đối xứng,Nâng cao,"1,00","27,5%",13
1,dayso_dn_hv23,Dãy số,Cơ bản,"1,00","60,2%",43
1,strchuc_bg23,Số tròn chục,Cơ bản,"1,00","15,6%",70
1,ds_bg23,Dãy số,Nâng cao,"1,00","29,3%",28
